slice,ticker,date,time,model,status,status_detail,grid_k_lo,grid_k_hi,grid_k_points,grid_t_lo,grid_t_hi,grid_t_points,n_grid_points,butterfly_violations,butterfly_violation_rate,min_g,calendar_pairs,calendar_crossings,calendar_crossing_rate,max_calendar_crossing,fit_max_calendar_crossing,self_validates,grid_inside_quoted_fraction,butterfly_violations_inside,min_g_inside,calendar_crossings_inside,max_calendar_crossing_inside
daily,GOOGL,2026-08-14,1530,essvi_g05,ok,,-0.4000000000,0.4000000000,81,0.0082191781,1.4383561644,41,3321,0,0.0000000000,0.2752950605,3240,0,0.0000000000,0.0000000000,0.0000000000,true,0.9277326107,0,0.4784362608,0,0.0000000000
daily,GOOGL,2026-08-14,1530,essvi_gfree,ok,,-0.4000000000,0.4000000000,81,0.0082191781,1.4383561644,41,3321,0,0.0000000000,0.2643882620,3240,0,0.0000000000,0.0000000000,0.0000000000,true,0.9277326107,0,0.4431455906,0,0.0000000000
daily,GOOGL,2026-08-14,1530,essvi_sg05,ok,,-0.4000000000,0.4000000000,81,0.0082191781,1.4383561644,41,3321,0,0.0000000000,0.2794871107,3240,0,0.0000000000,0.0000000000,0.0000000000,true,0.9277326107,0,0.5117799817,0,0.0000000000
daily,GOOGL,2026-08-17,1530,svi,ok,,-0.4000000000,0.4000000000,81,0.0054794521,1.4301369863,41,3321,0,0.0000000000,0.1187742263,3240,0,0.0000000000,0.0000000000,0.0001478958,true,0.9388738332,0,0.3043230405,0,0.0000000000
daily,GOOGL,2026-08-17,1530,ssvi,ok,,-0.4000000000,0.4000000000,81,0.0054794521,1.4301369863,41,3321,0,0.0000000000,0.2810689139,3240,0,0.0000000000,0.0000000000,0.0000000000,true,0.9388738332,0,0.4607089431,0,0.0000000000
daily,GOOGL,2026-08-17,1530,essvi,ok,,-0.4000000000,0.4000000000,81,0.0054794521,1.4301369863,41,3321,0,0.0000000000,0.2858231394,3240,0,0.0000000000,0.0000000000,0.0000001080,true,0.9388738332,0,0.4395385453,0,0.0000000000
daily,GOOGL,2026-08-17,1530,essvi_g05,ok,,-0.4000000000,0.4000000000,81,0.0054794521,1.4301369863,41,3321,0,0.0000000000,0.2864016012,3240,0,0.0000000000,0.0000000000,0.0000000000,true,0.9388738332,0,0.4508052180,0,0.0000000000
daily,GOOGL,2026-08-17,1530,essvi_gfree,ok,,-0.4000000000,0.4000000000,81,0.0054794521,1.4301369863,41,3321,0,0.0000000000,0.2782907010,3240,0,0.0000000000,0.0000000000,0.0000000000,true,0.9388738332,0,0.4468667635,0,0.0000000000
daily,GOOGL,2026-08-17,1530,essvi_sg05,ok,,-0.4000000000,0.4000000000,81,0.0054794521,1.4301369863,41,3321,0,0.0000000000,0.2933876550,3240,0,0.0000000000,0.0000000000,0.0000000000,true,0.9388738332,0,0.4825552732,0,0.0000000000
daily,GOOGL,2026-08-18,1530,svi,ok,,-0.4000000000,0.4000000000,81,0.0027397260,1.4273972603,41,3321,0,0.0000000000,0.1277297259,3240,0,0.0000000000,0.0000000000,3.0000964524,true,0.9388738332,0,0.2625614339,0,0.0000000000
daily,GOOGL,2026-08-18,1530,ssvi,ok,,-0.4000000000,0.4000000000,81,0.0027397260,1.4273972603,41,3321,0,0.0000000000,0.2679818034,3240,0,0.0000000000,0.0000000000,0.0000000000,true,0.9388738332,0,0.4523522217,0,0.0000000000
daily,GOOGL,2026-08-18,1530,essvi,ok,,-0.4000000000,0.4000000000,81,0.0027397260,1.4273972603,41,3321,0,0.0000000000,0.2728106508,3240,0,0.0000000000,0.0000000000,0.0000000000,true,0.9388738332,0,0.4412022206,0,0.0000000000
daily,GOOGL,2026-08-18,1530,essvi_g05,ok,,-0.4000000000,0.4000000000,81,0.0027397260,1.4273972603,41,3321,0,0.0000000000,0.2741148511,3240,0,0.0000000000,0.0000000000,0.0000000000,true,0.9388738332,0,0.4481240688,0,0.0000000000
daily,GOOGL,2026-08-18,1530,essvi_gfree,ok,,-0.4000000000,0.4000000000,81,0.0027397260,1.4273972603,41,3321,0,0.0000000000,0.2674635348,3240,0,0.0000000000,0.0000000000,0.0000000000,true,0.9388738332,0,0.4441703149,0,0.0000000000
