ticker,date,time,model,status,status_detail,n_pillars,gamma
AMZN,2026-08-27,1215,essvi_gfree,ok,,22,0.5922633741
AMZN,2026-08-27,1215,ssvi,ok,,22,0.5974104918
AMZN,2026-08-27,1230,essvi_gfree,ok,,22,0.5901348754
AMZN,2026-08-27,1230,ssvi,ok,,22,0.6018639195
AMZN,2026-08-27,1245,essvi_gfree,ok,,22,0.5914664033
AMZN,2026-08-27,1245,ssvi,ok,,22,0.5904482580
AMZN,2026-08-27,1300,essvi_gfree,ok,,22,0.5910831962
AMZN,2026-08-27,1300,ssvi,ok,,22,0.6042707050
AMZN,2026-08-27,1315,essvi_gfree,ok,,22,0.5842235967
AMZN,2026-08-27,1315,ssvi,ok,,22,0.6065119328
AMZN,2026-08-27,1330,essvi_gfree,ok,,22,0.5849002582
AMZN,2026-08-27,1330,ssvi,ok,,22,0.5835922976
AMZN,2026-08-27,1345,essvi_gfree,ok,,22,0.5734065238
AMZN,2026-08-27,1345,ssvi,ok,,22,0.5529077357
AMZN,2026-08-27,1400,essvi_gfree,ok,,22,0.5775526205
AMZN,2026-08-27,1400,ssvi,ok,,22,0.5696293549
AMZN,2026-08-27,1415,essvi_gfree,ok,,22,0.5804791415
AMZN,2026-08-27,1415,ssvi,ok,,22,0.5615709397
AMZN,2026-08-27,1430,essvi_gfree,ok,,22,0.5805163479
AMZN,2026-08-27,1430,ssvi,ok,,22,0.6068802592
AMZN,2026-08-27,1445,essvi_gfree,ok,,22,0.5737543672
AMZN,2026-08-27,1445,ssvi,ok,,22,0.5855277135
AMZN,2026-08-27,1500,essvi_gfree,ok,,22,0.5786660524
AMZN,2026-08-27,1500,ssvi,ok,,22,0.5805357779
AMZN,2026-08-27,1515,essvi_gfree,ok,,22,0.5801069610
AMZN,2026-08-27,1515,ssvi,ok,,22,0.5858351275
AMZN,2026-08-27,1530,essvi_gfree,ok,,22,0.5881280815
AMZN,2026-08-27,1530,ssvi,ok,,22,0.5978518874
AMZN,2026-08-27,1545,essvi_gfree,ok,,22,0.5869617778
AMZN,2026-08-27,1545,ssvi,ok,,22,0.6097058076
AMZN,2026-08-27,1600,essvi_gfree,ok,,22,0.5924670354
AMZN,2026-08-27,1600,ssvi,ok,,22,0.6336991438
JPM,2026-08-14,1430,essvi_gfree,ok,,14,0.4424801406
JPM,2026-08-14,1430,ssvi,ok,,14,0.3693196355
