slice,ticker,date,time,model,status,status_detail,maturity,t,t_beyond_last_pillar,t_below_first_pillar,spot,strike,forward,discount_factor,barrier_type,barrier_dir,barrier_mult,barrier_level,right,pv,std_err,knock_prob,vanilla_pv,vanilla_std_err,ko_over_vanilla,paths,steps,seed
daily,AMD,2026-08-14,1530,svi,ok,,6M,0.5000000000,false,false,507.8100000000,507.8100000000,519.8031798101,0.9806827969,out,up,1.1500000000,583.9815000000,C,0.3297706179,0.0160766117,0.7035275484,90.7774184583,0.7716240779,0.0036327384,40000,192,20260824
daily,AMD,2026-08-14,1530,svi,ok,,6M,0.5000000000,false,false,507.8100000000,507.8100000000,519.8031798101,0.9806827969,out,up,1.1500000000,583.9815000000,P,48.2483342136,0.3791929639,0.7035275484,79.5045016175,0.2793183722,0.6068629226,40000,192,20260824
daily,AMD,2026-08-14,1530,ssvi,ok,,1M,0.0833333333,false,false,507.8100000000,507.8100000000,509.7457823053,0.9968517053,none,,,,C,32.4506288928,0.2289205504,,32.4506288928,0.2289205504,1.0000000000,40000,192,20260824
daily,AMD,2026-08-14,1530,ssvi,ok,,1M,0.0833333333,false,false,507.8100000000,507.8100000000,509.7457823053,0.9968517053,none,,,,P,30.5182093768,0.1528216848,,30.5182093768,0.1528216848,1.0000000000,40000,192,20260824
daily,AMD,2026-08-14,1530,ssvi,ok,,1M,0.0833333333,false,false,507.8100000000,507.8100000000,509.7457823053,0.9968517053,out,down,0.9500000000,482.4195000000,C,20.2983607683,0.2317332259,0.7599876217,32.4506288928,0.2289205504,0.6255151737,40000,192,20260824
daily,AMD,2026-08-14,1530,ssvi,ok,,1M,0.0833333333,false,false,507.8100000000,507.8100000000,509.7457823053,0.9968517053,out,down,0.9500000000,482.4195000000,P,0.1145376625,0.0050795824,0.7599876217,30.5182093768,0.1528216848,0.0037530925,40000,192,20260824
daily,AMD,2026-08-14,1530,ssvi,ok,,1M,0.0833333333,false,false,507.8100000000,507.8100000000,509.7457823053,0.9968517053,out,down,0.9000000000,457.0290000000,C,29.0645789259,0.2361120277,0.5130265019,32.4506288928,0.2289205504,0.8956553360,40000,192,20260824
daily,AMD,2026-08-14,1530,ssvi,ok,,1M,0.0833333333,false,false,507.8100000000,507.8100000000,509.7457823053,0.9968517053,out,down,0.9000000000,457.0290000000,P,1.7992078095,0.0296641726,0.5130265019,30.5182093768,0.1528216848,0.0589552220,40000,192,20260824
daily,AMD,2026-08-14,1530,ssvi,ok,,1M,0.0833333333,false,false,507.8100000000,507.8100000000,509.7457823053,0.9968517053,out,down,0.8500000000,431.6385000000,C,31.7362408293,0.2309552382,0.3100039175,32.4506288928,0.2289205504,0.9779853862,40000,192,20260824
daily,AMD,2026-08-14,1530,ssvi,ok,,1M,0.0833333333,false,false,507.8100000000,507.8100000000,509.7457823053,0.9968517053,out,down,0.8500000000,431.6385000000,P,6.6013162085,0.0630568148,0.3100039175,30.5182093768,0.1528216848,0.2163074552,40000,192,20260824
daily,AMD,2026-08-14,1530,ssvi,ok,,1M,0.0833333333,false,false,507.8100000000,507.8100000000,509.7457823053,0.9968517053,out,up,1.0500000000,533.2005000000,C,0.1021020590,0.0048681168,0.7431535083,32.4506288928,0.2289205504,0.0031463815,40000,192,20260824
daily,AMD,2026-08-14,1530,ssvi,ok,,1M,0.0833333333,false,false,507.8100000000,507.8100000000,509.7457823053,0.9968517053,out,up,1.0500000000,533.2005000000,P,18.1524245586,0.1708435742,0.7431535083,30.5182093768,0.1528216848,0.5948063444,40000,192,20260824
daily,AMD,2026-08-14,1530,ssvi,ok,,1M,0.0833333333,false,false,507.8100000000,507.8100000000,509.7457823053,0.9968517053,out,up,1.1000000000,558.5910000000,C,1.2456475509,0.0243681448,0.5193015233,32.4506288928,0.2289205504,0.0383859294,40000,192,20260824
daily,AMD,2026-08-14,1530,ssvi,ok,,1M,0.0833333333,false,false,507.8100000000,507.8100000000,509.7457823053,0.9968517053,out,up,1.1000000000,558.5910000000,P,26.1309000756,0.1677892281,0.5193015233,30.5182093768,0.1528216848,0.8562396225,40000,192,20260824
daily,AMD,2026-08-14,1530,ssvi,ok,,1M,0.0833333333,false,false,507.8100000000,507.8100000000,509.7457823053,0.9968517053,out,up,1.1500000000,583.9815000000,C,4.2778204747,0.0523631933,0.3493059437,32.4506288928,0.2289205504,0.1318255029,40000,192,20260824
daily,AMD,2026-08-14,1530,ssvi,ok,,1M,0.0833333333,false,false,507.8100000000,507.8100000000,509.7457823053,0.9968517053,out,up,1.1500000000,583.9815000000,P,29.0681734469,0.1592743953,0.3493059437,30.5182093768,0.1528216848,0.9524862055,40000,192,20260824
daily,AMD,2026-08-14,1530,ssvi,ok,,3M,0.2500000000,false,false,507.8100000000,507.8100000000,513.4326328251,0.9904202202,none,,,,C,63.0900562113,0.4971274320,,63.0900562113,0.4971274320,1.0000000000,40000,192,20260824
