slice,ticker,date,time,model,status,status_detail,grid_levels,grid_times,lv_min,lv_max,lv_mean,clamped_fraction,guard_fraction,roughness_dk,roughness_mean_abs_d2,roughness_max_abs_d2,roughness_mean_abs_d2_per_dk2,lv_analytic_minus_numeric_mean_abs,lv_analytic_minus_numeric_max_abs,rt_points,rt_failures,rt_panics,rt_vs_fit_mean_vol_bp,rt_vs_fit_max_vol_bp,rt_vs_fit_mean_abs_price,rt_vs_fit_max_abs_price,rt_vs_fit_mean_rel_price,rt_vs_mkt_mean_vol_bp,rt_vs_mkt_max_vol_bp,ur_roundtrip_points,ur_roundtrip_failures,ur_roundtrip_mean_vol_bp,ur_roundtrip_max_vol_bp,ur_clamped_fraction,ur_fallback_fraction,ur_within_desk_tolerance,trusted_strike_lo,trusted_strike_hi,trusted_t_lo,trusted_t_hi
daily,AMD,2026-08-19,1530,essvi,ok,,81,41,0.5077805642,2.0061671372,0.6233779389,0.0000000000,0.0000000000,0.0100000000,0.0000921343,0.0099696805,0.9213429222,0.0268780316,1.5470935802,15,0,0,134.0653329362,296.3038229620,0.9167723040,1.4270253891,0.0364686527,138.6766154469,452.4138284672,8,0,844.1654289918,2272.3388871368,0.0000000000,0.0000000000,false,410.0000000000,525.0000000000,0.0054794521,1.4246575342
daily,AMD,2026-08-19,1530,essvi_g05,ok,,81,41,0.5114925694,1.9936007927,0.6166574296,0.0000000000,0.0000000000,0.0100000000,0.0000948918,0.0098291378,0.9489181489,0.0290838490,1.9581257586,15,0,0,132.9849128977,274.6418017703,0.9529236893,1.3156922848,0.0357111659,109.1951955452,420.4176015696,8,0,834.6658944949,2256.6680529203,0.0000000000,0.0000000000,false,410.0000000000,525.0000000000,0.0054794521,1.4246575342
daily,AMD,2026-08-19,1530,essvi_gfree,ok,,81,41,0.5143186099,2.0576877984,0.6187369845,0.0000000000,0.0000000000,0.0100000000,0.0000912702,0.0114838596,0.9127017310,0.0282321914,1.9625234587,15,0,0,134.8584632592,272.6875050962,0.9732080859,1.3065275225,0.0359695705,121.7742146893,428.3719570918,8,0,827.6650270265,2248.0286327268,0.0000000000,0.0000000000,false,410.0000000000,525.0000000000,0.0054794521,1.4246575342
daily,AMD,2026-08-19,1530,essvi_sg05,ok,,81,41,0.5187139156,1.7626892543,0.6141129409,0.0000000000,0.0000000000,0.0100000000,0.0000654400,0.0059722608,0.6544000896,0.0218126677,1.1657513455,15,0,0,143.8687095726,293.0399289064,0.9961848177,1.4603330706,0.0392049810,140.4654836037,377.5641693902,8,0,798.7416823680,2137.2899938081,0.0000000000,0.0000000000,false,410.0000000000,525.0000000000,0.0054794521,1.4246575342
daily,AMD,2026-08-20,1530,svi,ok,,81,41,0.2903584229,3.0000000000,0.6402240307,0.0054200542,0.0000000000,0.0100000000,0.0016178517,0.5860418215,16.1785167466,0.0493779101,2.3794574538,15,0,0,192.6024885867,370.1105317707,1.3400119060,1.8378229819,0.0523338256,186.9820603588,354.0322630047,5,0,152.6257058498,440.2034335921,0.0054200542,0.0000000000,false,422.5000000000,485.0000000000,0.0027397260,1.4219178082
daily,AMD,2026-08-20,1530,ssvi,ok,,81,41,0.5061763932,1.8316112632,0.6204095291,0.0000000000,0.0000000000,0.0100000000,0.0000944050,0.0341271283,0.9440498562,0.0274230779,1.1933703328,15,0,0,198.8110811207,380.2843471118,1.3975835967,1.8495044518,0.0535370623,206.5429174304,466.2174510443,5,0,243.1363180092,443.9808548346,0.0000000000,0.0000000000,false,422.5000000000,485.0000000000,0.0027397260,1.4219178082
daily,AMD,2026-08-20,1530,essvi,ok,,81,41,0.0100000000,2.3111523728,0.6235996000,0.0042155977,0.0000000000,0.0100000000,0.0001630154,0.0648110828,1.6301543501,0.0568867353,2.9593564016,15,0,0,236.4126341739,438.8117509319,1.6473588053,2.1714113004,0.0635083036,247.0332151854,610.8581509789,5,0,169.9775495964,495.3737555672,0.0042155977,0.0000000000,false,422.5000000000,485.0000000000,0.0027397260,1.4219178082
daily,AMD,2026-08-20,1530,essvi_g05,ok,,81,41,0.4819631871,2.2858978023,0.6198236218,0.0000000000,0.0000000000,0.0100000000,0.0001122649,0.0203484587,1.1226494089,0.0404040183,1.6900046970,15,0,0,208.9991083240,397.4363616505,1.4730630837,1.9226275244,0.0563229484,185.4423072181,560.4628371470,5,0,167.3764161452,468.7913195178,0.0000000000,0.0000000000,false,422.5000000000,485.0000000000,0.0027397260,1.4219178082
daily,AMD,2026-08-20,1530,essvi_gfree,ok,,81,41,0.4833680557,2.3866657540,0.6227062337,0.0000000000,0.0000000000,0.0100000000,0.0001132333,0.0252412294,1.1323330679,0.0407155428,1.7833467476,15,0,0,206.9293346792,394.3722954908,1.4585862645,1.9046942456,0.0556030629,197.9012214387,565.4823383765,5,0,167.5218830727,464.7436705507,0.0000000000,0.0000000000,false,422.5000000000,485.0000000000,0.0027397260,1.4219178082
daily,AMD,2026-08-20,1530,essvi_sg05,ok,,81,41,0.5096350118,1.7362765041,0.6134659847,0.0000000000,0.0000000000,0.0100000000,0.0000499509,0.0067217870,0.4995092636,0.0213921915,2.3898359952,15,0,0,195.9590524835,398.0299083231,1.3520876548,1.9130414957,0.0535108559,191.6578773817,450.0333510936,5,0,147.2478633601,485.8514282558,0.0000000000,0.0000000000,false,422.5000000000,485.0000000000,0.0027397260,1.4219178082
