slice,ticker,date,time,status,status_detail,file,as_of,quote_timestamp,spot,curve_date,n_quotes_raw,n_expiries_raw,n_quotes_used,n_quotes_dropped,drop_unquoted_or_crossed,drop_wide_spread,drop_expiry_window,drop_moneyness_window,drop_in_the_money,drop_vol_out_of_bounds,drop_solver_failed,drop_sparse_expiry,drop_no_forward,n_expiries_used,t_first,t_last,fwd_1M,fwd_3M,fwd_6M,rate_1M,rate_3M,rate_6M,rate_1Y,raw_butterfly_violations,raw_calendar_violations,repair_butterfly_adjustments,repair_calendar_adjustments,repair_dropped_points,repair_max_vol_change,repair_iterations,repair_clean,elapsed_ms
daily,SPY,2026-08-18,1530,ok,,SPY/2026-08-18/1530.json.gz,2026-08-18,2026-08-18 19:29:20,767.6100000000,2026-08-17,14220,34,4404,9816,859,735,1176,1442,5604,0,0,0,0,31,0.0027397260,1.4273972603,769.4525079532,773.9061760750,781.1119705698,0.0378391324,0.0385054512,0.0391105284,0.0396069109,829,182,3882,555,0,0.1635094326,8,false,33590.6147000000
daily,SPY,2026-08-19,1530,ok,,SPY/2026-08-19/1530.json.gz,2026-08-19,2026-08-19 19:29:17,769.7800000000,2026-08-18,14160,34,4367,9793,862,764,1159,1431,5577,0,0,0,0,31,0.0027397260,1.4246575342,771.4845329926,776.1942413563,783.4189351774,0.0377394528,0.0384080177,0.0390124368,0.0395088736,796,106,3144,309,0,0.1282809200,8,false,32326.2023000000
daily,SPY,2026-08-20,1530,ok,,SPY/2026-08-20/1530.json.gz,2026-08-20,2026-08-20 19:29:16,763.5300000000,2026-08-19,14100,34,4395,9705,802,760,1177,1425,5541,0,0,0,0,31,0.0027397260,1.4219178082,765.1491861653,769.8414321164,777.0364081285,0.0376397724,0.0384064106,0.0390124368,0.0396034947,803,117,1619,152,0,0.2149505658,2,true,39593.0348000000
daily,SPY,2026-08-21,1530,ok,,SPY/2026-08-21/1530.json.gz,2026-08-21,2026-08-21 19:29:28,766.0300000000,2026-08-20,13980,33,4338,9642,776,782,1251,1416,5417,0,0,0,0,30,0.0082191781,1.4191780822,767.2219474748,772.1508819672,779.3362359474,0.0379388111,0.0385006299,0.0390124368,0.0392914356,771,100,3145,308,0,0.0424933744,8,false,33025.8378000000
daily,SPY,2026-08-24,1538,ok,,SPY/2026-08-24/1538.json.gz,2026-08-24,2026-08-24 19:38:19,764.1000000000,2026-08-21,13410,32,4078,9332,742,793,1145,1412,5240,0,0,0,0,29,0.0027397260,1.4109589041,765.2253904570,770.4006258806,777.6579391921,0.0379388111,0.0385996681,0.0391121249,0.0399039828,719,94,1467,124,0,0.0477498099,2,true,33001.5269000000
daily,SPY,2026-08-25,1530,ok,,SPY/2026-08-25/1530.json.gz,2026-08-25,2026-08-25 19:29:17,765.1600000000,2026-08-24,13316,32,4079,9237,769,724,1144,1405,5195,0,0,0,0,29,0.0027397260,1.4082191781,766.0860988180,771.4493943010,778.6790881091,0.0378391324,0.0385022370,0.0392086152,0.0400020080,759,105,3403,370,0,0.1055368391,8,false,28263.5661000000
daily,SPY,2026-08-26,1530,ok,,SPY/2026-08-26/1530.json.gz,2026-08-26,2026-08-26 19:29:26,766.9000000000,2026-08-25,13288,32,4123,9165,737,699,1153,1399,5177,0,0,0,0,29,0.0027397260,1.4054794521,767.7078075109,773.1170277496,780.1203006301,0.0378391324,0.0384048035,0.0391105284,0.0397059348,754,104,1578,135,0,0.1436366039,2,true,21548.3982000000
daily,SPY,2026-08-27,1530,ok,,SPY/2026-08-27/1530.json.gz,2026-08-27,2026-08-27 19:29:26,770.2100000000,2026-08-26,13318,33,4118,9200,792,670,1143,1410,5185,0,0,0,0,30,0.0027397260,1.4027397260,770.9059184391,776.3877803022,783.6750429996,0.0379388111,0.0383073676,0.0390124368,0.0398014811,744,170,1601,234,0,0.3558709932,2,true,19832.1231000000
daily,TSLA,2026-08-14,1530,ok,,TSLA/2026-08-14/1530.json.gz,2026-08-14,2026-08-14 19:29:29,341.2700000000,2026-08-13,5826,24,1146,4680,524,457,558,1774,1367,0,0,0,0,21,0.0082191781,1.4383561644,342.5721624892,345.2724124763,349.5144123745,0.0378391324,0.0385038441,0.0390124368,0.0390923758,93,7,125,12,0,0.0933026437,2,true,23145.5734000000
daily,TSLA,2026-08-17,1530,ok,,TSLA/2026-08-17/1530.json.gz,2026-08-17,2026-08-17 19:29:25,340.5200000000,2026-08-14,5592,24,1116,4476,477,415,517,1758,1309,0,0,0,0,21,0.0054794521,1.4301369863,341.8542754767,344.6188541056,348.8628376421,0.0378391323,0.0384064106,0.0391089318,0.0394088634,133,24,183,32,0,0.2864625404,2,true,25623.8190000000
daily,TSLA,2026-08-18,1530,ok,,TSLA/2026-08-18/1530.json.gz,2026-08-18,2026-08-18 19:29:21,336.1000000000,2026-08-17,5572,24,1155,4417,392,399,399,1854,1373,0,0,0,0,22,0.0027397260,1.4273972603,337.4704742339,340.0791604424,344.0159601387,0.0378391324,0.0385054512,0.0391105284,0.0396069109,121,19,171,30,0,0.2234033296,2,true,24378.8907000000
daily,TSLA,2026-08-19,1530,ok,,TSLA/2026-08-19/1530.json.gz,2026-08-19,2026-08-19 19:29:15,348.5050000000,2026-08-18,5726,24,1183,4543,465,458,514,1727,1379,0,0,0,0,21,0.0054794521,1.4246575342,349.8051526076,352.5254249519,356.6723520126,0.0377394528,0.0384080177,0.0390124368,0.0395088736,101,10,135,15,0,0.1589846946,2,true,25224.8022000000
daily,TSLA,2026-08-20,1530,ok,,TSLA/2026-08-20/1530.json.gz,2026-08-20,2026-08-20 19:29:25,343.1500000000,2026-08-19,5608,23,1189,4419,421,412,396,1774,1416,0,0,0,0,21,0.0027397260,1.4219178082,344.4737135489,347.1640502230,351.3180567391,0.0376397724,0.0384064106,0.0390124368,0.0396034947,104,2,133,2,0,0.0201194884,2,true,23529.4681000000
daily,TSLA,2026-08-21,1530,ok,,TSLA/2026-08-21/1530.json.gz,2026-08-21,2026-08-21 19:29:31,364.6800000000,2026-08-20,5608,23,1206,4402,444,413,590,1559,1396,0,0,0,0,20,0.0082191781,1.4191780822,366.0061048368,368.9083339326,373.4590086957,0.0379388111,0.0385006299,0.0390124368,0.0392914356,116,2,143,3,0,0.0471557661,2,true,25002.0966000000
daily,TSLA,2026-08-24,1538,ok,,TSLA/2026-08-24/1538.json.gz,2026-08-24,2026-08-24 19:39:16,350.5500000000,2026-08-21,5284,22,1105,4179,398,371,519,1612,1279,0,0,0,0,19,0.0054794521,1.4109589041,351.9774463994,354.6727795068,358.8975833523,0.0379388111,0.0385996681,0.0391121249,0.0399039828,95,3,120,6,0,0.1023262061,2,true,25148.0822000000
daily,TSLA,2026-08-25,1530,ok,,TSLA/2026-08-25/1530.json.gz,2026-08-25,2026-08-25 19:29:16,352.0400000000,2026-08-24,5112,22,1096,4016,342,377,396,1589,1312,0,0,0,0,20,0.0027397260,1.4082191781,353.5293926094,356.2790689110,360.7248345426,0.0378391324,0.0385022370,0.0392086152,0.0400020080,89,23,122,36,0,0.2992270722,2,true,25438.4219000000
daily,TSLA,2026-08-26,1530,ok,,TSLA/2026-08-26/1530.json.gz,2026-08-26,2026-08-26 19:29:18,345.7399000000,2026-08-25,5266,22,1037,4229,413,421,514,1626,1255,0,0,0,0,19,0.0054794521,1.4054794521,347.1796203170,349.8230863116,354.2390002344,0.0378391324,0.0384048035,0.0391105284,0.0397059348,118,16,144,17,0,0.1692688749,2,true,26073.6004000000
daily,TSLA,2026-08-27,1530,ok,,TSLA/2026-08-27/1530.json.gz,2026-08-27,2026-08-27 19:29:19,354.9500000000,2026-08-26,5114,22,1050,4064,345,441,397,1558,1323,0,0,0,0,20,0.0027397260,1.4027397260,356.3961874210,359.1777419230,363.5226122361,0.0379388111,0.0383073676,0.0390124368,0.0398014811,87,37,111,46,0,0.1495173488,2,true,22420.2080000000
