slice,ticker,date,time,status,status_detail,file,as_of,quote_timestamp,spot,curve_date,n_quotes_raw,n_expiries_raw,n_quotes_used,n_quotes_dropped,drop_unquoted_or_crossed,drop_wide_spread,drop_expiry_window,drop_moneyness_window,drop_in_the_money,drop_vol_out_of_bounds,drop_solver_failed,drop_sparse_expiry,drop_no_forward,n_expiries_used,t_first,t_last,fwd_1M,fwd_3M,fwd_6M,rate_1M,rate_3M,rate_6M,rate_1Y,raw_butterfly_violations,raw_calendar_violations,repair_butterfly_adjustments,repair_calendar_adjustments,repair_dropped_points,repair_max_vol_change,repair_iterations,repair_clean,elapsed_ms
daily,DIA,2026-08-14,1530,ok,,DIA/2026-08-14/1530.json.gz,2026-08-14,2026-08-14 17:45:55,536.7600000000,2026-08-13,5112,21,935,4177,429,1150,431,135,2032,0,0,0,0,18,0.0191780822,1.4383561644,537.8659576344,540.2363296559,544.9224306776,0.0378391324,0.0385038441,0.0390124368,0.0390923758,245,25,381,88,0,0.1014446664,2,true,26594.1202000000
daily,DIA,2026-08-17,1530,ok,,DIA/2026-08-17/1530.json.gz,2026-08-17,2026-08-17 19:22:16,534.3600000000,2026-08-14,4870,20,841,4029,361,1215,310,130,2013,0,0,0,0,18,0.0109589041,1.4301369863,535.2057674860,537.7627514634,542.3351165438,0.0378391323,0.0384064106,0.0391089318,0.0394088634,230,25,350,122,0,0.1051371449,2,true,29265.9770000000
daily,DIA,2026-08-18,1530,ok,,DIA/2026-08-18/1530.json.gz,2026-08-18,2026-08-18 18:46:33,533.3950000000,2026-08-17,4870,20,884,3986,359,1147,309,133,2038,0,0,0,0,18,0.0082191781,1.4273972603,534.2235147135,536.8297539387,541.2973714853,0.0378391324,0.0385054512,0.0391105284,0.0396069109,247,25,374,110,0,0.1152662671,2,true,29729.7865000000
daily,DIA,2026-08-19,1530,ok,,DIA/2026-08-19/1530.json.gz,2026-08-19,2026-08-19 19:15:35,533.8800000000,2026-08-18,4870,20,838,4032,380,1180,309,130,2033,0,0,0,0,18,0.0054794521,1.4246575342,534.7297398601,537.4365769038,542.5566102404,0.0377394528,0.0384080177,0.0390124368,0.0395088736,214,28,329,123,0,0.1534503247,2,true,29545.3188000000
daily,DIA,2026-08-20,1530,ok,,DIA/2026-08-20/1530.json.gz,2026-08-20,2026-08-20 19:21:15,527.8300000000,2026-08-19,4976,21,884,4092,423,1126,306,127,2110,0,0,0,0,19,0.0027397260,1.4219178082,528.4999175345,531.4662684472,536.6824236165,0.0376397724,0.0384064106,0.0390124368,0.0396034947,229,33,370,104,0,0.1128482871,2,true,29289.1460000000
daily,DIA,2026-08-21,1530,ok,,DIA/2026-08-21/1530.json.gz,2026-08-21,2026-08-21 19:20:02,532.5800000000,2026-08-20,4976,21,1079,3897,431,904,424,130,2008,0,0,0,0,18,0.0191780822,1.4191780822,533.6088789360,536.6849128364,540.6354790668,0.0379388111,0.0385006299,0.0390124368,0.0392914356,329,25,1092,158,0,0.0591252516,8,false,29226.9070000000
daily,DIA,2026-08-24,1538,ok,,DIA/2026-08-24/1538.json.gz,2026-08-24,2026-08-24 17:45:45,532.8200000000,2026-08-21,4788,20,1104,3684,327,889,306,130,2032,0,0,0,0,18,0.0109589041,1.4109589041,533.6452075748,536.8926242042,541.7530952896,0.0379388111,0.0385996681,0.0391121249,0.0399039828,292,21,469,69,0,0.0587567691,2,true,30691.3960000000
daily,DIA,2026-08-25,1530,ok,,DIA/2026-08-25/1530.json.gz,2026-08-25,2026-08-25 19:21:35,535.1400000000,2026-08-24,4788,20,1121,3667,340,860,305,131,2031,0,0,0,0,18,0.0082191781,1.4082191781,536.0120900829,539.3526318122,543.5433198694,0.0378391324,0.0385022370,0.0392086152,0.0400020080,307,24,494,59,0,0.0810147033,2,true,30413.2773000000
daily,DIA,2026-08-26,1530,ok,,DIA/2026-08-26/1530.json.gz,2026-08-26,2026-08-26 19:06:54,534.1300000000,2026-08-25,4788,20,1075,3713,352,895,304,130,2032,0,0,0,0,18,0.0054794521,1.4054794521,534.8893402598,538.2341485782,542.7461543406,0.0378391324,0.0384048035,0.0391105284,0.0397059348,271,36,871,158,0,0.0802782664,8,false,23981.9504000000
daily,DIA,2026-08-27,1530,ok,,DIA/2026-08-27/1530.json.gz,2026-08-27,2026-08-27 17:45:20,536.1600000000,2026-08-26,4884,21,1007,3877,508,877,305,134,2053,0,0,0,0,19,0.0027397260,1.4027397260,536.9555472451,540.2419971465,544.6391146016,0.0379388111,0.0383073676,0.0390124368,0.0398014811,270,11,420,16,0,0.0322722509,2,true,20630.6417000000
