slice,ticker,date,time,model,status,status_detail,slice_index,expiry_date,tenor_years,forward,n_quotes_raw,n_quotes_used,fit_rmse_vol_bp,fit_max_err_bp,lib_rmse_vol_bp,fit_vol_min,fit_vol_max,pillar_vol_min,pillar_vol_max,converged,min_butterfly_g,k_lo,k_hi,n_slices_fitted,n_slices_skipped,self_validates,svi_a,svi_b,svi_rho,svi_m,svi_sigma,ssvi_rho,ssvi_eta,ssvi_gamma,ssvi_theta,ssvi_phi,essvi_theta,essvi_psi,essvi_rho,essvi_eta,essvi_gamma,essvi_tube_clamped
daily,GOOGL,2026-08-19,1530,svi,ok,,3,2026-08-28,0.0246575342,345.0982295718,208,32,54.6103305306,185.5684723160,54.6103305306,0.2806560074,0.4354718978,0.2825156394,0.4413607089,true,0.2101769265,-0.1568537436,0.1223176392,21,0,true,0.0000000000,0.0253224754,-0.4723581964,-0.0529087009,0.0870119947,,,,,,,,,,,
daily,GOOGL,2026-08-19,1530,svi,ok,,4,2026-08-31,0.0328767123,345.1353636104,98,23,34.3647980702,77.4368122475,34.7252300659,0.2647441774,0.3771297261,0.2641392465,0.3822295862,true,0.2919941753,-0.1568537436,0.1223176392,21,0,true,0.0000000000,0.0240671247,-0.4620345238,-0.0565230000,0.1079594845,,,,,,,,,,,
daily,GOOGL,2026-08-19,1530,svi,ok,,5,2026-09-02,0.0383561644,345.0984157540,98,18,33.3739303045,81.8223046150,33.3739303045,0.2704979710,0.3490066171,0.2665612429,0.3538758336,true,0.4732894297,-0.1568537436,0.1223176392,21,0,true,0.0025604791,0.0110569735,-0.6579920081,-0.0439517817,0.0294449128,,,,,,,,,,,
daily,GOOGL,2026-08-19,1530,svi,ok,,6,2026-09-04,0.0438356164,345.3363348832,202,33,36.8928170487,101.5716755958,36.8928170487,0.2773214519,0.3766178816,0.2778106004,0.3813798834,true,0.2998219633,-0.1407363512,0.1837596944,21,0,true,0.0000000000,0.0302017848,0.3000878262,0.0615296719,0.1169858844,,,,,,,,,,,
daily,GOOGL,2026-08-19,1530,svi,ok,,7,2026-09-11,0.0630136986,345.4484242180,182,24,33.4562547115,82.0003096425,33.4562547115,0.2731963662,0.3908375297,0.2729901934,0.3922518165,true,0.2349349415,-0.2100537502,0.1837596944,21,0,true,0.0000000000,0.0416474962,-0.5829038416,-0.1085942259,0.1388628315,,,,,,,,,,,
daily,GOOGL,2026-08-19,1530,svi,ok,,8,2026-09-18,0.0821917808,345.7431592306,272,37,72.3028919735,171.5318623498,72.3028919735,0.2739424740,0.4089568298,0.2828371326,0.4190293924,true,0.3341749123,-0.2659663591,0.2635513977,21,0,true,0.0000000000,0.0429410676,-0.1190667822,-0.0143880154,0.1445796954,,,,,,,,,,,
daily,GOOGL,2026-08-19,1530,svi,ok,,9,2026-09-25,0.1013698630,345.8343492796,182,30,32.5194384577,63.8113114796,32.5194384577,0.2787654808,0.3750970497,0.2786986947,0.3773151579,true,0.4172415939,-0.2659663591,0.2632876817,21,0,true,0.0000000000,0.0431589787,0.0473187130,0.0258596233,0.1826521790,,,,,,,,,,,
daily,GOOGL,2026-08-19,1530,svi,ok,,10,2026-10-02,0.1205479452,346.3432730933,182,30,23.1797370116,47.9653726937,23.1797370116,0.2864453175,0.3695285970,0.2875527301,0.3722396199,true,0.4140058508,-0.2490084430,0.2632876817,21,0,true,0.0000000000,0.0503273476,-0.4188710280,-0.0980344176,0.2163752864,,,,,,,,,,,
daily,GOOGL,2026-08-19,1530,svi,ok,,11,2026-10-16,0.1589041096,346.9729453756,192,46,47.2592223128,122.9016236716,47.2592223128,0.2929050283,0.4035759606,0.2982012315,0.4117076683,true,0.3986794519,-0.3479885991,0.3653612887,21,0,true,0.0000000000,0.0563751880,-0.1716283534,-0.0270311120,0.2453688937,,,,,,,,,,,
daily,GOOGL,2026-08-19,1530,svi,ok,,12,2026-11-20,0.2547945205,348.5799856819,220,59,28.2612373821,78.9082965316,28.2612373821,0.3320610025,0.4536615451,0.3330747640,0.4573809982,true,0.3418810921,-0.5067601873,0.4377014215,21,0,true,0.0000000000,0.0808023072,-0.4577732435,-0.1893253240,0.3910419123,,,,,,,,,,,
daily,GOOGL,2026-08-19,1530,svi,ok,,13,2026-12-18,0.3315068493,349.5971900269,258,68,16.8752979522,40.3972880753,16.8752979522,0.3263999772,0.4275468966,0.3261577275,0.4315866255,true,0.3965500654,-0.5096740754,0.4531366722,21,0,true,0.0000000000,0.0902608128,-0.4740060940,-0.2164438019,0.4443415966,,,,,,,,,,,
daily,GOOGL,2026-08-19,1530,svi,ok,,14,2027-01-15,0.4082191781,350.7641136081,276,69,14.2810512993,64.2317315462,14.2810512993,0.3220541336,0.4016317117,0.3221151195,0.4041020305,true,0.4902580906,-0.4894759284,0.4678228272,21,0,true,0.0000000000,0.0930675541,-0.3698480581,-0.1648533335,0.4896446590,,,,,,,,,,,
