slice,ticker,date,time,model,status,status_detail,holdout_index,n_pillars,expiry_date,tenor_years,forward,n_eval_quotes,gap_lo_years,gap_hi_years,insample_rmse_bp,insample_max_bp,loo_rmse_bp,loo_max_bp,loo_mean_signed_bp,loo_atm_signed_bp,fit_ms
loo,DIA,2026-08-21,1530,svi,ok,,1,18,2026-09-04,0.0383561644,533.5236708504,60,0.0191780822,0.0191780822,6.6621632298,21.8916240695,20.3338633638,45.3218840600,-16.4007366745,-5.0332876221,560.7345000000
loo,DIA,2026-08-21,1530,ssvi,ok,,1,18,2026-09-04,0.0383561644,533.5236708504,60,0.0191780822,0.0191780822,563.6988278037,988.5632454309,579.5090449352,1021.0420566843,456.4457240443,-27.6490735567,4.3569000000
loo,DIA,2026-08-21,1530,essvi,ok,,1,18,2026-09-04,0.0383561644,533.5236708504,60,0.0191780822,0.0191780822,30.0781031009,85.5290295401,38.5082102129,133.7350985898,-13.4009809954,-8.3323438901,8.2556000000
loo,DIA,2026-08-21,1530,essvi_g05,ok,,1,18,2026-09-04,0.0383561644,533.5236708504,60,0.0191780822,0.0191780822,41.2997621219,110.6202409822,48.0193808565,123.7142690794,-19.2882346590,-67.8228819069,61.4828000000
loo,DIA,2026-08-21,1530,essvi_gfree,ok,,1,18,2026-09-04,0.0383561644,533.5236708504,60,0.0191780822,0.0191780822,32.0129623412,78.4490758561,44.0183568648,104.6158145902,-19.7859442402,-58.4139910993,55.2055000000
loo,DIA,2026-08-21,1530,essvi_sg05,ok,,1,18,2026-09-04,0.0383561644,533.5236708504,60,0.0191780822,0.0191780822,40.1097697225,123.7764696912,54.5972028547,175.5800975688,-31.8857511050,-8.6045375848,2.4119000000
loo,DIA,2026-08-21,1530,svi,ok,,2,18,2026-09-11,0.0575342466,533.9014025680,68,0.0191780822,0.0191780822,8.2265476200,18.8564206541,43.7946755177,60.1563411952,42.9604356330,45.5577238311,625.2236000000
loo,DIA,2026-08-21,1530,ssvi,ok,,2,18,2026-09-11,0.0575342466,533.9014025680,68,0.0191780822,0.0191780822,422.2731852628,753.4628533618,460.9731436504,815.7430308944,374.6977279194,35.5754625519,5.4131000000
loo,DIA,2026-08-21,1530,essvi,ok,,2,18,2026-09-11,0.0575342466,533.9014025680,68,0.0191780822,0.0191780822,25.9589613365,96.0902014010,60.2902585777,97.5990394788,55.2981757705,45.0870067589,10.6311000000
loo,DIA,2026-08-21,1530,essvi_g05,ok,,2,18,2026-09-11,0.0575342466,533.9014025680,68,0.0191780822,0.0191780822,34.1458891165,82.8623441170,60.6789625125,117.2941898715,51.2582111979,-2.0387278178,51.3288000000
loo,DIA,2026-08-21,1530,essvi_gfree,ok,,2,18,2026-09-11,0.0575342466,533.9014025680,68,0.0191780822,0.0191780822,27.3821358176,63.3648642289,57.2961547942,100.6521705610,50.2676844328,8.1944707936,263.7496000000
loo,DIA,2026-08-21,1530,essvi_sg05,ok,,2,18,2026-09-11,0.0575342466,533.9014025680,68,0.0191780822,0.0191780822,40.9738514332,147.2646837027,44.9470892487,113.4921460213,24.2188639289,45.1875968125,1.7004000000
loo,DIA,2026-08-21,1530,svi,ok,,3,18,2026-09-18,0.0767123288,533.6133159909,48,0.0191780822,0.0191780822,9.5378734054,20.3231703430,20.8557968240,43.5834770742,-14.7870539039,-17.8640062362,534.5862000000
loo,DIA,2026-08-21,1530,ssvi,ok,,3,18,2026-09-18,0.0767123288,533.6133159909,48,0.0191780822,0.0191780822,238.8259402896,587.6787622660,235.7057952177,588.3472855128,141.6311045551,-24.3730669356,8.4055000000
loo,DIA,2026-08-21,1530,essvi,ok,,3,18,2026-09-18,0.0767123288,533.6133159909,48,0.0191780822,0.0191780822,24.3149328922,92.2593026454,33.9651737091,157.3109472156,-14.0888613087,-20.3676796516,9.2019000000
loo,DIA,2026-08-21,1530,essvi_g05,ok,,3,18,2026-09-18,0.0767123288,533.6133159909,48,0.0191780822,0.0191780822,31.9499734057,60.6196406977,48.7445861420,102.1708805365,-21.8953492917,-69.0319875428,402.3268000000
loo,DIA,2026-08-21,1530,essvi_gfree,ok,,3,18,2026-09-18,0.0767123288,533.6133159909,48,0.0191780822,0.0191780822,26.6618193782,57.2825422092,41.5825688406,121.8164051526,-21.3576397312,-54.3639857867,414.3205000000
loo,DIA,2026-08-21,1530,essvi_sg05,ok,,3,18,2026-09-18,0.0767123288,533.6133159909,48,0.0191780822,0.0191780822,50.6416284592,211.8096616246,65.1173958431,245.4279111770,-45.3994597642,-20.3989017737,1.5531000000
loo,DIA,2026-08-21,1530,svi,ok,,4,18,2026-09-25,0.0958904110,533.6004638318,78,0.0191780822,0.0136986301,8.5620757142,25.4738985960,8.2417314384,20.2864476856,0.9933509477,0.0773143636,567.0238000000
