slice,ticker,date,time,model,status,status_detail,horizon,t,t_beyond_last_pillar,t_below_first_pillar,target_forward,simulated_mean,relative_error,standard_error,z_score,paths,seed,steps_per_year,z_threshold,within_threshold,max_abs_z_all_horizons,mc_mean_spot,mc_relative_error,mc_standard_error,mc_paths,mc_seed,mc_steps,carry_rate,zero_dividend_forward_error,drift_source
daily,AMD,2026-08-17,1530,essvi_sg05,ok,,1M,0.0833333333,false,false,507.7578202701,507.7778638226,0.0000394746,0.0001630260,0.2421370583,32768,20260824,104,3.0000000000,true,1.0172835356,507.7845763425,0.0000526946,0.0001752470,40000,20260824,192,0.0532390041,-0.0012824995,parity_forward
daily,AMD,2026-08-17,1530,essvi_sg05,ok,,3M,0.2500000000,false,false,511.8333196984,512.1404585247,0.0006000759,0.0005898807,1.0172835356,32768,20260824,104,3.0000000000,true,1.0172835356,511.8186512057,-0.0000286587,0.0005501909,40000,20260824,192,0.0497240244,-0.0028254044,parity_forward
daily,AMD,2026-08-17,1530,essvi_sg05,ok,,6M,0.5000000000,false,false,518.1772472859,517.7275524345,-0.0008678398,0.0012425439,-0.6984379543,32768,20260824,104,3.0000000000,true,1.0172835356,517.7472214239,-0.0008298818,0.0010967542,40000,20260824,192,0.0494986830,-0.0051814056,parity_forward
daily,AMD,2026-08-18,1530,svi,ok,,1M,0.0833333333,false,false,481.7841694116,481.7225118954,-0.0001279775,0.0001424421,-0.8984526242,32768,20260824,104,3.0000000000,true,1.1987634718,481.7978802761,0.0000284585,0.0001262477,40000,20260824,192,0.0392726908,-0.0001194561,parity_forward
daily,AMD,2026-08-18,1530,svi,ok,,3M,0.2500000000,false,false,485.3393917297,485.6533340770,0.0006468512,0.0005395987,1.1987634718,32768,20260824,104,3.0000000000,true,1.1987634718,485.3554987612,0.0000331872,0.0004947333,40000,20260824,192,0.0424996590,-0.0009980536,parity_forward
daily,AMD,2026-08-18,1530,svi,ok,,6M,0.5000000000,false,false,490.9072826231,490.4618801684,-0.0009073046,0.0010914914,-0.8312521919,32768,20260824,104,3.0000000000,true,1.1987634718,490.5232011070,-0.0007823912,0.0009967638,40000,20260824,192,0.0440635359,-0.0024734398,parity_forward
daily,AMD,2026-08-18,1530,ssvi,ok,,1M,0.0833333333,false,false,481.7841694116,481.7901801406,0.0000124760,0.0001546849,0.0806541616,32768,20260824,104,3.0000000000,true,1.1390506072,481.8099076262,0.0000534227,0.0001642100,40000,20260824,192,0.0392726908,-0.0001194561,parity_forward
daily,AMD,2026-08-18,1530,ssvi,ok,,3M,0.2500000000,false,false,485.3393917297,485.6490728465,0.0006380713,0.0005601781,1.1390506072,32768,20260824,104,3.0000000000,true,1.1390506072,485.2779283914,-0.0001266399,0.0005306203,40000,20260824,192,0.0424996590,-0.0009980536,parity_forward
daily,AMD,2026-08-18,1530,ssvi,ok,,6M,0.5000000000,false,false,490.9072826231,490.4947845682,-0.0008402769,0.0011062143,-0.7595968936,32768,20260824,104,3.0000000000,true,1.1390506072,490.5178952369,-0.0007931994,0.0010313483,40000,20260824,192,0.0440635359,-0.0024734398,parity_forward
daily,AMD,2026-08-18,1530,essvi,ok,,1M,0.0833333333,false,false,481.7841694116,481.7951520150,0.0000227957,0.0002223402,0.1025261848,32768,20260824,104,3.0000000000,true,1.3187872832,481.9006132148,0.0002416929,0.0001919845,40000,20260824,192,0.0392726908,-0.0001194561,parity_forward
daily,AMD,2026-08-18,1530,essvi,ok,,3M,0.2500000000,false,false,485.3393917297,485.7183044112,0.0007807169,0.0005919961,1.3187872832,32768,20260824,104,3.0000000000,true,1.3187872832,485.3517147036,0.0000253904,0.0005369297,40000,20260824,192,0.0424996590,-0.0009980536,parity_forward
daily,AMD,2026-08-18,1530,essvi,ok,,6M,0.5000000000,false,false,490.9072826231,490.5617968845,-0.0007037698,0.0011195070,-0.6286426330,32768,20260824,104,3.0000000000,true,1.3187872832,490.5023800482,-0.0008248046,0.0010032500,40000,20260824,192,0.0440635359,-0.0024734398,parity_forward
daily,AMD,2026-08-18,1530,essvi_g05,ok,,1M,0.0833333333,false,false,481.7841694116,481.8040957106,0.0000413594,0.0001911013,0.2164265059,32768,20260824,104,3.0000000000,true,1.2857213230,481.8707015377,0.0001796077,0.0001564517,40000,20260824,192,0.0392726908,-0.0001194561,parity_forward
daily,AMD,2026-08-18,1530,essvi_g05,ok,,3M,0.2500000000,false,false,485.3393917297,485.7167006832,0.0007774126,0.0006046509,1.2857213230,32768,20260824,104,3.0000000000,true,1.2857213230,485.3317867132,-0.0000156695,0.0005569877,40000,20260824,192,0.0424996590,-0.0009980536,parity_forward
daily,AMD,2026-08-18,1530,essvi_g05,ok,,6M,0.5000000000,false,false,490.9072826231,490.5937444740,-0.0006386912,0.0012144507,-0.5259094967,32768,20260824,104,3.0000000000,true,1.2857213230,490.4633067566,-0.0009043986,0.0010968040,40000,20260824,192,0.0440635359,-0.0024734398,parity_forward
daily,AMD,2026-08-18,1530,essvi_gfree,ok,,1M,0.0833333333,false,false,481.7841694116,481.8044452385,0.0000420849,0.0001878743,0.2240055008,32768,20260824,104,3.0000000000,true,1.3249436801,481.8686808182,0.0001754134,0.0001542399,40000,20260824,192,0.0392726908,-0.0001194561,parity_forward
daily,AMD,2026-08-18,1530,essvi_gfree,ok,,3M,0.2500000000,false,false,485.3393917297,485.7187923352,0.0007817223,0.0005900041,1.3249436801,32768,20260824,104,3.0000000000,true,1.3249436801,485.3325361503,-0.0000141253,0.0005407229,40000,20260824,192,0.0424996590,-0.0009980536,parity_forward
daily,AMD,2026-08-18,1530,essvi_gfree,ok,,6M,0.5000000000,false,false,490.9072826231,490.5967950362,-0.0006324770,0.0011642104,-0.5432669812,32768,20260824,104,3.0000000000,true,1.3249436801,490.4848313399,-0.0008605521,0.0010484117,40000,20260824,192,0.0440635359,-0.0024734398,parity_forward
daily,AMD,2026-08-18,1530,essvi_sg05,ok,,1M,0.0833333333,false,false,481.7841694116,481.7184298447,-0.0001364502,0.0001729088,-0.7891456300,32768,20260824,104,3.0000000000,true,1.0262498158,481.7874882859,0.0000068887,0.0001328961,40000,20260824,192,0.0392726908,-0.0001194561,parity_forward
daily,AMD,2026-08-18,1530,essvi_sg05,ok,,3M,0.2500000000,false,false,485.3393917297,485.6202459469,0.0005786759,0.0005638743,1.0262498158,32768,20260824,104,3.0000000000,true,1.0262498158,485.2880704349,-0.0001057431,0.0005192468,40000,20260824,192,0.0424996590,-0.0009980536,parity_forward
daily,AMD,2026-08-18,1530,essvi_sg05,ok,,6M,0.5000000000,false,false,490.9072826231,490.4391475034,-0.0009536121,0.0011139510,-0.8560628943,32768,20260824,104,3.0000000000,true,1.0262498158,490.5175819660,-0.0007938376,0.0010242354,40000,20260824,192,0.0440635359,-0.0024734398,parity_forward
daily,AMD,2026-08-19,1530,svi,ok,,1M,0.0833333333,false,false,468.4848518416,468.4760884670,-0.0000187058,0.0001491145,-0.1254457105,32768,20260824,104,3.0000000000,true,1.4361148431,468.5124079613,0.0000588197,0.0001297484,40000,20260824,192,0.0427202813,-0.0004149829,parity_forward
daily,AMD,2026-08-19,1530,svi,ok,,3M,0.2500000000,false,false,472.0011142063,472.3537251955,0.0007470554,0.0005201920,1.4361148431,32768,20260824,104,3.0000000000,true,1.4361148431,471.9606489385,-0.0000857313,0.0004697696,40000,20260824,192,0.0441504072,-0.0014345674,parity_forward
daily,AMD,2026-08-19,1530,svi,ok,,6M,0.5000000000,false,false,477.5955189232,477.1826678911,-0.0008644366,0.0010924703,-0.7912678115,32768,20260824,104,3.0000000000,true,1.4361148431,477.3045676047,-0.0006092003,0.0009847793,40000,20260824,192,0.0456408703,-0.0033087308,parity_forward
daily,AMD,2026-08-19,1530,ssvi,ok,,1M,0.0833333333,false,false,468.4848518416,468.5020098945,0.0000366246,0.0001588651,0.2305387558,32768,20260824,104,3.0000000000,true,1.0509783332,468.5044758734,0.0000418883,0.0001623932,40000,20260824,192,0.0427202813,-0.0004149829,parity_forward
daily,AMD,2026-08-19,1530,ssvi,ok,,3M,0.2500000000,false,false,472.0011142063,472.2819867921,0.0005950676,0.0005662035,1.0509783332,32768,20260824,104,3.0000000000,true,1.0509783332,471.9169951892,-0.0001782178,0.0005322843,40000,20260824,192,0.0441504072,-0.0014345674,parity_forward
daily,AMD,2026-08-19,1530,ssvi,ok,,6M,0.5000000000,false,false,477.5955189232,477.2501193691,-0.0007232052,0.0011213207,-0.6449584062,32768,20260824,104,3.0000000000,true,1.0509783332,477.1834946336,-0.0008627055,0.0010234644,40000,20260824,192,0.0456408703,-0.0033087308,parity_forward
daily,AMD,2026-08-19,1530,essvi,ok,,1M,0.0833333333,false,false,468.4848518416,468.4526283618,-0.0000687823,0.0001420847,-0.4840938930,32768,20260824,104,3.0000000000,true,1.1196876483,468.5111006270,0.0000560291,0.0001182053,40000,20260824,192,0.0427202813,-0.0004149829,parity_forward
daily,AMD,2026-08-19,1530,essvi,ok,,3M,0.2500000000,false,false,472.0011142063,472.2907483241,0.0006136302,0.0005480369,1.1196876483,32768,20260824,104,3.0000000000,true,1.1196876483,471.9490656289,-0.0001102721,0.0005058391,40000,20260824,192,0.0441504072,-0.0014345674,parity_forward
daily,AMD,2026-08-19,1530,essvi,ok,,6M,0.5000000000,false,false,477.5955189232,477.2096074592,-0.0008080299,0.0010964479,-0.7369524153,32768,20260824,104,3.0000000000,true,1.1196876483,477.2058919374,-0.0008158096,0.0009938493,40000,20260824,192,0.0456408703,-0.0033087308,parity_forward
daily,AMD,2026-08-19,1530,essvi_g05,ok,,1M,0.0833333333,false,false,468.4848518416,468.4458284420,-0.0000832970,0.0001563768,-0.5326688800,32768,20260824,104,3.0000000000,true,1.0238691357,468.5107393349,0.0000552579,0.0001195359,40000,20260824,192,0.0427202813,-0.0004149829,parity_forward
daily,AMD,2026-08-19,1530,essvi_g05,ok,,3M,0.2500000000,false,false,472.0011142063,472.2790009910,0.0005887418,0.0005750166,1.0238691357,32768,20260824,104,3.0000000000,true,1.0238691357,471.9410499477,-0.0001272545,0.0005261092,40000,20260824,192,0.0441504072,-0.0014345674,parity_forward
